"claim_text","immigration","healthcare","crime","economy","education","legal_political","elections","foreign_policy","verdict","speaker"
"The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence.",0,0,0,0,0,1,0,0,"Mostly True","rand-paul"
"The vast majority of people in this country are keeping their (health insurance) plan.",0,1,0,0,0,0,0,0,"Mostly True","david-axelrod"
"The Democratic health care law added 12 years of solvency to Medicare.",0,1,0,1,0,0,0,0,"Mixed","debbie-wasserman-schultz"
"The only segment in the beer market that is growing is the craft beer segment.",0,0,0,1,0,0,0,0,"True","mike-villarreal"
"We are seeing kids who are healthier.",0,1,0,0,0,0,0,0,"Mixed","hillary-clinton"
"90% of rural women and 55% of all women are illiterate in Morocco.",0,0,0,0,1,0,0,0,"False","snapchat"
"Kathleen Peters refuses to take a stand to repeal Obamacare.",0,1,0,0,0,0,0,0,"Mostly False","david-jolly"
"Says $500 billion in Medicare cuts are coming.",0,1,0,0,0,0,0,0,"Mostly False","lois-kolkhorst"
"Fences have not worked. The Great Wall of China, the Berlin Wall. That's not good among peoples, especially friends like the United States and Mexico.",1,0,0,0,0,0,0,0,"Mixed","bill-richardson"
"Says the Multnomah County Library system is the second busiest in the nation.",0,0,0,1,0,0,0,0,"True","libraries-yes-committee"
"One in 19 Americans today get SSDI or SSI. Thats one in 19 Americans (who) are disabled.",0,0,0,1,0,0,0,0,"Mostly True","tom-coburn"
"55 percent of the people who cast a provisional ballot (in Florida) in the last presidential election -- their vote did not count.",0,0,0,0,0,0,1,0,"Mostly True","bill-nelson"
"The centerpiece of Senator McCain's education policy is to increase the voucher program in D.C. by 2,000 slots.",0,0,0,0,1,0,0,0,"False","barack-obama"
"On mandatory ultrasounds before abortions.",0,1,0,0,0,0,0,0,"True","bob-mcdonnell"
"Hillary Clintons State Department sent three comedians to India on the Make Chai, Not War tour.",0,0,0,0,0,0,0,1,"True","rand-paul"
"Currently, the intelligence community can collect business records on law-abiding Americans who have no connection to terrorism.",0,0,0,0,0,1,0,1,"True","mark-udall"
"Even though Chicago has the most stringent gun laws on the books, it still has the highest murder rate in the country.",0,0,1,0,0,0,0,0,"Mixed","ron-johnson"
"Says people who signed recall petitions against Wisconsin state Sen. Jim Holperin received harassing phone calls from out-of-state telemarketers claiming to represent the Democratic Party and insinuating foul play by petition circulators.",0,0,0,1,0,0,1,0,"True","kim-simac"
"Virginia has a responsibility to fund 55 percent of public education and is payingjust 41 percent.",0,0,0,1,1,0,0,0,"False","ken-plum"
"Uncompensated care has gone down by 30 percent just in the first few months of Medicaid expansion in the states that adopted it.",0,1,0,1,0,0,0,0,"True","george-barker"
"Every time weve cut the capital gains tax, the economy has grown. Whenever we raise the capital gains tax, its been damaged.",0,0,0,1,0,0,0,0,"False","grover-norquist"
"Says Jason Carter has gotten David Axelrod to come down and be his campaign advisor.",0,0,0,0,0,0,1,0,"False","nathan-deal"
"Kilmartin has helped pass laws to create a witness protection program.",0,0,1,0,0,0,0,0,"Mostly True","peter-kilmartin"
"Says Rep. Renee Ellmers voted for the government shutdown 21 times.",0,1,0,0,0,0,0,0,"Mixed","clay-aiken"
"I havent switched my position on the Trans-Pacific Partnership trade deal.",0,0,0,1,0,0,0,0,"Mixed","tim-kaine"
"Says Barack Obama is the first president to appoint 45 czars to replace elected officials in his office.",0,0,0,0,0,0,1,0,"False","chain-email"
"John Boehner wants to reopen a tax loophole that actually rewarded corporations for shipping jobs and profits overseas.",0,0,0,1,0,0,0,0,"Mixed","barack-obama"
"Nobody is leaving Memphis. Thats a myth.",0,0,0,1,0,0,0,0,"False","joe-brown"
"Florida seniors are exempt from losing Medicare Advantage under the federal health care bill.",0,1,0,0,0,0,0,0,"False","george-pataki"
"Theres a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us theres no tax.",0,0,0,1,0,0,0,1,"Mostly False","donald-trump"
"I am very proud that over my almost 30 years of public service I have had no scandals.",0,0,0,0,0,1,0,0,"Mostly True","lincoln-chafee"
"Pat Toomey advocated for eliminating all corporate taxes.",0,0,0,1,0,0,0,0,"True","katie-mcginty"
"Health care reform ""requires the use of federal dollars to fund abortions through the government-run health plan.""",0,1,0,0,0,0,0,0,"Mixed","house-republicans"
"A lot of what (Cubas) survival depends on is Venezuelan oil money, which is drying up.",0,0,0,0,0,0,0,1,"Mostly True","ana-navarro"
"The RI Board of Elections has heard official testimony from Providence residents who claim to have witnessed known illegal aliens voting in local elections.",1,0,0,0,0,0,1,0,"Mostly False","travis-rowley"
"Says Obama called Kagan a moderate. He called Sotomayor a moderate.",0,0,0,0,0,1,0,0,"Mostly True","mitch-mcconnell"
"Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.",0,1,0,0,0,0,0,0,"False","tom-harkin"
"Darryl Hicks had seven ethics violations and didnt pay most of the fines.",0,0,0,0,0,1,0,0,"Mixed","mark-butler"
"Since President Obama came into office, another 2 million Hispanics have joined the ranks of those in poverty. The number of Hispanic children living in poverty increased by 15 percent in that short period of time.",0,0,0,1,0,0,0,0,"Mostly False","donald-trump"
"The top 1 percent in recent years has earned 85 percent of all new income.",0,0,0,1,0,0,0,0,"Mixed","bernie-s"
"Forty percent of the Fortune 500 were started either by immigrants or children of immigrants.",1,0,0,1,0,0,0,0,"Mixed","steve-case"
"The group that organized Texas Muslim Capitol Day in Austin was recently listed as one of 82 organizations designated as a terrorist group by the United Arab Emirates.",0,0,0,0,0,0,0,1,"Mixed","molly-white"
"Go look at a Trump product. Theyre all made in China.",0,0,0,0,0,0,0,1,"Mostly False","thomas-perez"
"Nearly 6 out of 10 believe that money and wealth should be more evenly distributed among a larger percentage of the people in the U.S.",0,0,0,1,0,0,0,0,"True","bernie-s"
"Public education has been permanently cutby $1.6 billion through changes in the Standards of Quality funding formula.",0,0,0,1,1,0,0,0,"Mostly True","kitty-boitnott"
"This president went before the United Nations and castigated Israel for building settlements. He said nothing about thousands of rockets being rained in on Israel from the Gaza Strip.",0,0,0,0,0,0,0,1,"False","mitt-romney"
"In its current state, this bill is the most restrictive voter ID legislation in the nation.",0,0,0,0,0,0,1,0,"True","milele-coggs"
"President Obama has the most border patrols and border security deployed at the border of any previous president.",1,0,0,0,0,0,0,0,"Mostly True","debbie-wasserman-schultz"
"Says as GOP was picking a convention city, I recommended Ohio.",0,0,0,0,0,0,1,0,"False","donald-trump"
"Washington has incentivized the militarization of local police precincts.",1,0,1,0,0,0,0,1,"True","rand-paul"
"By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests.",0,0,0,0,1,0,0,0,"Mostly True","sheila-resseger"
"In (Sen. Marco) Rubios state of Florida alone, Social Security lifts more than -- count it -- a million people out of poverty.",0,0,0,1,0,0,0,0,"Mixed","ed-schultz"
"Donald Trump would engage in a risky scheme to privatize Social Security.",0,0,0,1,0,0,0,0,"Mostly False","tim-kaine"
"Massachusetts schools are ranked No. 1 of all 50 states.",0,0,0,0,1,0,0,0,"Mostly True","mitt-romney"
"But for immigrants, we would have a contracting population...",1,0,0,0,0,0,0,0,"Mostly False","don-beyer"
"The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.",1,0,1,0,0,1,0,0,"False","jan-brewer"
"Rhode Island gives undocumented pregnant women health insurance, plus a cash card with $400 a month on it and $250 a month or $275 a month to spend on food.",1,1,0,1,0,0,0,0,"Mostly False","peter-palumbo"
"Says Mark Pryor continues to insist that Obamacare is an amazing success.",0,1,0,0,0,0,0,0,"Mostly False","tom-cotton"
"Were only inches away from no longer being a free economy.",0,0,0,1,0,0,0,0,"False","mitt-romney"
"The United States is the leading nation in the world with the highest amount of doubt about the conventional wisdom of climate change.",0,0,0,0,0,0,1,0,"Mostly True","rush-limbaugh"
"The U.S. Justice Department has taken on more than 100 voting rights cases since 2009.",0,0,0,0,0,0,1,0,"Mixed","barack-obama"
"On average it takes 300 Americans working for a solid year to make as much money as one top CEO.",0,0,0,1,0,0,0,0,"Mostly True","hillary-clinton"
"Says Barack Obama has played over 90 rounds of golf as president.",0,0,0,1,0,0,0,0,"True","david-dewhurst"
"Team Trump has accused Ted Cruz of fraud in Iowa, Texas, Colorado, Oklahoma, Louisiana, Kansas, Maine, Utah and Wisconsin.",0,0,1,0,0,0,1,0,"Mixed","frank-luntz"
"This years redistricting has been the most open, interactive and transparent redistricting process in Tennessee history.",0,0,0,0,0,0,1,0,"False","ron-ramsey"
"Under economic sanctions, now Iran is suffering 30 percent inflation, 20 percent unemployment.",0,0,0,1,0,0,0,1,"Mostly True","robert-reich"
"In the 18th Congressional District, 100% of electric generation comes from coal.",0,0,0,1,0,0,0,0,"True","bob-gibbs"
"The folks in Washington are already forcing you to buy government health care.",0,1,0,0,0,0,0,0,"Mostly False","carlos-beruff"
"Says President Barack Obama is the first president weve ever had who thinks he can choose which laws to enforce and which laws to ignore.",0,0,1,0,0,1,0,0,"False","ted-cruz"
"Up to 45 percent of illegal immigrants are not people that physically crossed the southern border or northern border. They are visa overstayers.",1,0,0,0,0,0,0,0,"Mostly True","julian-castro"
"This year, we have added an average of 200,000 jobs per month, a majority in the private sector, a stark contrast to the Bush Administration record of losing an average of nearly 750,000 jobs per month in its last three months.",0,0,0,1,0,0,0,0,"Mixed","nancy-pelosi"
"Republicans in Congress refuse to list a single tax loophole they are willing to close.",0,0,0,1,0,0,0,0,"True","barack-obama"
"Says Hillary Clintons Iran nuclear deal lined the pockets of the worlds number one state sponsor of terrorism with your money.",0,0,0,0,0,0,0,1,"Mostly False","reince-priebus"
"Right now, America has $1.1 trillion of student debt. Thats more than credit card debt.",0,0,0,1,1,0,0,0,"True","mark-warner"
"Twenty-six men named William have been elected to statewide office and only seven women have had the honor.",0,0,0,0,0,0,1,0,"Mostly True","ruths-list-florida"
"When Obama took office the economy of the United States was actually shrinking for the first time in about 70 years.",0,0,0,1,0,0,0,0,"Mostly False","tim-kaine"
"Says Marco Rubio said that felons should not have their voting rights restored but that convicted felons should be allowed to own guns after they have done their time.",0,0,1,0,0,0,1,0,"False","facebook-posts"
"Twice as much (federal) money is going back to Hawaii, Virginia and Alaska than is coming home to Oregon.",0,0,0,1,0,0,0,0,"Mostly True","jim-huffman"
"I didnt inherit money from my parents.",0,0,1,0,0,0,0,0,"Mixed","mitt-romney"
"If you tried to pay out $1 trillion by handing it out at $1 per second, it would take more than 31,000 years.",0,0,0,1,0,0,0,0,"True","johnny-isakson"
"You cant put a gun rack in a [Chevrolet] Volt.",0,0,1,0,0,0,0,0,"False","newt-gingrich"
"The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance.",0,1,0,0,0,0,0,0,"True","ron-desantis"
"Israel has seen a 90 percent reduction in terrorist attacks that it attributes to building a 500-mile fence.",0,0,0,0,0,0,0,1,"Mixed","scott-walker"
"The National Science Foundation spent $1.2 million paying seniors to play World of Warcraft to study the impact it had on their brain.",0,0,0,1,0,0,0,0,"False","eric-cantor"
"Our government right now. . . (is) spending 40 percent more than what we take in.",0,0,0,1,0,0,0,0,"True","michele-bachmann"
"The biggest contribution behind a decrease in U.S. unemployment was 1.2 million people leaving the workforce",0,0,0,1,0,0,0,0,"False","newt-gingrich"
"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",0,1,0,1,0,0,0,0,"Mostly True","steve-crisafulli"
"Says the U.S. Postal Service has taken no taxpayer aid since 1971, funds operations entirely from the sale of stamps and related products and makes an operational profit year after year.",0,0,0,1,0,0,0,0,"Mostly False","jim-hightower"
"California has seen a 56 percent decline in the gun murder rate since the 1990s.",0,0,1,0,0,0,1,0,"Mostly True","gavin-newsom"
"Drug overdoses are now the second-most common cause of death in New Hampshire.",0,1,1,0,0,0,0,0,"False","maggie-hassan"
"Congressman Cicilline, when he was the mayor of Providence, espoused a sanctuary city.",1,0,0,0,0,0,0,0,"False","brendan-doherty"
"Says his opponent Dorman Grace brags on his Facebook page about receiving illegal campaign contributions.",0,0,0,0,0,1,1,0,"Mixed","dale-peterson"
"Says 70 percent of Virginias Medicaid cost is for seniors in nursing homes.",0,1,0,0,0,0,0,0,"False","mark-sickles"
"More than two-thirds of the aliens the Obama administration has brought to the United States under the presidents Central American Minors program werent actually minors at all.",1,0,0,0,0,0,0,0,"Mostly True","blog-posting"
"Says Chris Abele, opponent in Milwaukee County executive race, failed to finish 3 separate colleges, dropping out all 3 times.",0,0,0,0,1,0,0,0,"Mostly True","jeff-stone"
"Obama Signs Bill Forgiving All Student Loan Debt.",0,0,0,0,1,0,0,0,"False","chain-email"
"AGallup report recently said that nearly 50 percent of small business owners arent hiring because of what they call regulatory uncertainty.",0,0,0,1,0,0,0,0,"Mixed","sher-valenzuela"
"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'",0,0,0,0,0,0,0,1,"False","john-mccain"
"Says that Mitt Romney, while he was in Arizona, said he believes the states SB 1070 immigration law should be the model for national immigration laws.",1,0,0,0,0,0,0,0,"False","charlie-gonzalez"
"Toomey crossed party lines to stop gun sales to suspects on the terror watch list.",0,0,1,0,0,0,0,0,"Mostly False","independence-usa-pac"
"Two-thirds of the people who start out in minimum wage are above the minimum wage within a year.",0,0,0,1,0,0,0,0,"Mixed","steve-forbes"
"The state of Georgia lost 16 percent of its employees last year, and that percentage has risen over the past three years.",0,0,0,1,0,0,0,0,"Mixed","nathan-deal"
"Says hes the only licensed firearms dealer in America running for Congress.",0,0,1,0,0,0,0,0,"Mixed","john-stone"
"On releasing photographs depicting the abuse of prisoners.",0,0,0,0,0,1,0,1,"False","barack-obama"
"Says attorney general candidate Jon Richards went so far to say he would only enforce the laws with which he personally agreed.",0,0,1,0,0,1,1,0,"False","brad-schimel"
"The pass rate for a high school level test to join the military is 35 to 40 percent.",0,0,0,0,1,0,0,1,"False","jeb-bush"
"We've got some 37-million of our fellow citizens who are living in poverty; about 12-million or 13-million are children.",0,0,0,1,0,0,0,0,"True","chris-dodd"
"Cicilline continues to accept hundreds of thousands of dollars in lobbyist, corporate PAC and insider money to fund his campaign.",0,0,0,0,0,0,1,0,"Mostly False","bill-lynch"
"Borrowing in my 2015-17 state budget is less than half that in my predecessors last budget and the lowest it has been in a decade.",0,0,0,1,0,0,0,0,"Mostly True","scott-walker"
"Every year since Gov. Walker and the Republicans have been in control of the Legislature weve created fewer jobs, according to the Bureau of Labor Statistics.",0,0,0,1,0,0,0,0,"False","brett-hulsey"
"Claims Joe Biden said coal is more dangerous than terrorists.",0,0,0,1,0,0,0,0,"Mostly False","mitt-romney"
"An Obama campaign tactic for rallying voters is to offer them cell phones.",0,0,0,0,0,0,1,0,"False","adam-putnam"
"What is and isnt a Schedule I narcotic is a job for Congress.",0,1,1,0,0,1,0,0,"Mixed","barack-obama"
"We are now seeing a decrease in violent crime.",0,0,1,0,0,0,0,0,"True","charlie-crist"
"Says theres $4 billion in private investment along the streetcar.",0,0,0,1,0,0,0,0,"Mostly False","sam-adams"
"Says Arkansas Republican Rep. Tom Cotton voted to provide Congress with taxpayer-funded health care for life.",0,1,0,0,0,0,0,0,"False","patriot-majority-usa"
"Israels per capita income is greater than probably three-fourths of the rest of the world.",0,0,0,1,0,0,0,1,"True","rand-paul"
"Well over 90 percent of felony cases, all over the nation, are committed by defendants who grew up in father-absent households.",0,0,1,0,0,1,0,0,"Mostly False","john-duncan"
"For his first interview as president, Barack Obama chose Arab TV for an apology.",0,0,0,0,0,0,0,1,"Mostly False","secure-america-now"
"More businesses are closing than opening in Virginia today.",0,0,0,1,0,0,0,0,"False","ed-gillespie"
"We have record numbers of people living in poverty.",0,0,0,1,0,0,0,0,"Mixed","carly-fiorina"
"Says Obama broke his promise to offer a comprehensive immigration bill in his first year.",1,0,0,0,0,0,0,0,"True","mitt-romney"
"The media wont publish a real photo of Trayvon Martin with tattoos on his face.",0,0,1,0,0,0,0,0,"False","chain-email"
"Rand Paul supports Obamas negotiations with Iran.",0,0,0,0,0,0,0,1,"Mostly False","foundation-secure-and-prosperous-america"
"For Social Security, which is projected to remain solvent through 2033, Whitehouse has cosponsored [a bill that] . . . would extend the life of the program by an additional 75 years.",0,0,0,1,0,0,0,0,"Mostly True","sheldon-whitehouse"
"A single parent with a couple kids can easily get $35,000 a year in public assistance in Wisconsin.",0,1,0,0,1,0,0,0,"Mostly False","glenn-grothman"
"Police in the United States are allowed to use tear gas even though it has been classified as a chemical weapon and banned in international conflict since 1993.",1,0,1,0,0,1,0,1,"Mostly True","facebook-posts"
"We passed without, frankly, the help of the Republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses.",0,0,0,1,0,0,0,0,"True","david-axelrod"
"Under the Iran deal: If Israel attacks Iran were supposed to be on Irans side.",0,0,0,0,0,0,0,1,"False","donald-trump"
"Nobody suffered any lasting injuries from the CIA interrogation program.",0,0,0,0,0,0,0,1,"False","peter-king"
"Im not one for name calling.",0,0,0,0,0,1,0,0,"False","ed-rendell"
"Wisconsin has one of the most progressive tax codes in the country.",0,0,0,1,0,0,0,0,"Mostly True","dale-kooyenga"
"During the year Kagan barred military recruiters from Harvard Law School's Office of Career Services, ""military recruiting actually went up.""",0,0,0,0,0,0,0,1,"Mixed","elena-kagan"
"ISIS reaches about 100 million people a day through social media.",0,0,0,0,0,0,0,1,"Mixed","stanley-mcchrystal"
"Texas added more jobs in 2010 than any other state.",0,0,0,1,0,0,0,0,"True","rick-perry"
"In the primary election, a right-wing group spent more than $100,000,000 to support Supreme Court Justice Rebecca Bradley.",0,0,0,0,0,0,1,0,"False","joanne-kloppenburg"
"(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.",0,1,0,1,0,0,0,0,"False","david-cicilline"
"Our national debt is as low as it has been since World War II.",0,0,0,1,0,0,0,0,"False","goldie-taylor"
"Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.",0,0,0,1,0,0,0,0,"True","catherine-taylor"
"Debbie Jackow unlike her opponent ...WILL NOT de-fund the 20/20 land program.",0,0,0,1,0,0,0,0,"False","debbie-jackow"
"The average age a child is trafficked into the commercial sex trade industry is between 11 and 14 years old.",0,0,1,0,0,0,0,0,"Mixed","randy-forbes"
"Says 99 percent of the time police officers arent charged when they kill young people of color.",1,0,1,0,0,0,0,0,"Mixed","benjamin-crump"
"Six justices on the U.S. Supreme Court have been confirmed in presidential election years since 1912.",0,0,0,0,0,1,0,0,"True","mike-honda"
"Property taxes are now 18% higher than when(Mark Sharpe)first took office.",0,0,0,1,0,0,0,0,"False","josh-burgin"
"The firefighter and police officer pension system is not headed for bankruptcy, far from it. Thats because New Jersey first responders -- fire fighters and police officers -- have never missed making payments to the retirement system.",0,0,0,1,0,0,0,0,"Mixed","dominick-marino"
"Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel.",1,0,1,0,0,0,0,0,"Mostly True","barack-obama"
"Students today take more years to get through college.",0,0,0,0,1,0,0,0,"Mostly False","newt-gingrich"
"Congress decision to spend less around the world on embassy security contributed to tragedies like Benghazi.",0,0,0,1,0,0,0,1,"Mostly False","ronan-farrow"
"The United States is about 100th in voter turnout among the industrialized nations, and Texas is near the bottom in terms of voter registration and voter turnout.",0,0,0,0,0,0,1,0,"Mostly True","bruce-elfant"
"Under Barack Obama's plan, the government would spend $1-trillion more.",0,0,0,1,0,0,0,0,"Mixed","republican-national-committee-republican"
"In 2011, NJ economy ranked 47th--at the bottom with Alabama, Mississippi Wyoming. Under Christie, NJ is falling behind.",0,0,0,1,0,0,0,0,"Mostly True","lou-greenwald"
"Theres never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.",0,0,0,0,0,1,0,0,"True","richard-blumenthal"
"Nearly 60% of all occupants of HUD properties in U.S. are illegals.",1,0,0,0,0,0,0,0,"False","facebook-posts"
"Oregon families pay an extra $1,400 a year on higher insurance premiums to cover those who do not have insurance.",0,1,0,0,0,0,0,0,"Mostly True","peter-defazio"
"As soon as Chris Christie was governor, he gave tax cuts to millionaires.",0,0,0,1,1,0,0,0,"Mixed","new-jersey-education-association"
"Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.",0,0,1,0,0,0,1,0,"True","chris-murphy"
"Over 80 percent of our trade deficit today is with countries that are not trade agreement partners, that are not level playing fields for the United States.",0,0,0,1,0,0,0,0,"Mostly True","kevin-brady"
"The measles vaccine has killed 108 people in the last decade, while no one has died of measles.",0,1,0,0,0,0,0,0,"False","naturalnewscom"
"For our next two years in my state, we will end with a structural surplus of $499 million.",0,0,0,1,1,0,0,0,"Mostly True","scott-walker"
"In Virginia there has been a billion dollars in surplus over the last three years. The legislature has spent less than 1 percent of that on roads.",0,0,0,1,0,0,0,0,"False","grover-norquist"
"Says oil productions down where Obamas in charge.",0,0,1,0,0,0,0,0,"Mixed","crossroads-gps"
"Says a picture he posted on Facebook of a man posing in front of five decapitated human heads is one of the subhuman mongrels our president set free.",0,0,0,0,0,0,0,1,"False","ted-nugent"
"Says that during President Barack Obamas tenure, the United States has created 15 million new jobs.",0,0,0,1,0,0,0,0,"Mixed","tim-kaine"
"The (national) debt really added up $75 trillion in 2010 and is on track to hit $99 trillion this year.",0,1,0,1,0,0,0,0,"False","scott-rigell"
"President Barack Obama ordered our military to enlist illegal aliens.",1,0,0,0,0,0,0,1,"Mostly False","allen-west"
"A government panel that didn't include cancer specialists says women shouldn't receive mammograms until age 50...If government takes over health care, recommendations like these could become the law for all kinds of diseases.",0,1,0,0,0,0,0,0,"False","americans-prosperity"
"This governor has cut funding repeatedly for people who have AIDS, who need drugs to save their life.",0,1,0,1,0,0,0,0,"Mostly True","herb-conaway"
"We have dozens of districts that go for 150 to 200 miles, splitting counties, splintering cities and connecting areas that have very little in common.",0,0,0,0,0,0,1,0,"Mostly True","ellen-freidin"
"Congress gave an unelected board the power to deny care to seniors.",0,1,0,0,0,0,0,0,"Mixed","tom-price"
"I never said I was on the Falkland Islands.",0,0,1,0,0,1,0,0,"Mixed","bill-oreilly"
"The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.",0,1,0,0,0,0,1,0,"Mixed","republican-national-committee-republican"
"Says Wisconsin Senate recall candidate Jessica King voted to increase her pay with taxpayer dollars by 63 percent.",0,0,0,1,0,0,0,0,"False","randy-hopper"
"Says Barack Obama began his presidency with an apology tour.",0,0,0,0,0,0,0,1,"False","mitt-romney"
"A Texas law will repatriate $1 billion of gold bullion from the Federal Reserve in New York to Texas.",0,0,0,1,0,0,0,0,"Mostly False","greg-abbott"
"The majority of the Hispanic population and the growth (of the population) is U.S.-born.",1,0,0,0,0,0,0,0,"True","jose-diaz-balart"
"Says Barack Obamas administration has admitted that money from its Iran nuclear deal would go directly to terrorism.",0,0,0,0,0,0,0,1,"Mixed","ron-johnson"
"No Bridge to Nowhere could occur.",0,0,0,1,0,0,0,0,"False","charles-schumer"
"When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against womens health care in our state.",0,1,0,0,0,0,0,0,"True","robert-menendez"
"When it comes to classified information at the State Department, Hillary Clintons the decider.",0,0,0,0,0,1,0,0,"Mixed","juan-williams"
"Right now, Im polling at about 8 percent against Barack Obama and Mitt Romney.",0,0,0,0,0,0,1,0,"Mostly False","gary-johnson"
"Food stamps have gone up two-and-a-half times under Barack Obama.",0,0,0,1,0,0,0,0,"False","rudy-giuliani"
"In the 38 Studios deal, Wall Street investors took a risk, and went bust.",0,0,0,1,0,0,1,0,"False","allan-fung"
"Says President Barack Obama broke his promise to keep a Wisconsin GM plant from closing.",0,0,0,1,0,0,0,0,"False","paul-ryan"
"The weight of the evidence (on global warming) is that most of it, maybe all of it, is because of natural causes ... its fair to say the science is in dispute.",0,0,0,1,0,0,0,0,"False","tim-pawlenty"
"Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgias advantage in landing the companys USA corporate headquarters.",0,0,0,1,0,0,0,0,"True","mark-drewniak"
"State Department officials actually directed contracts for the Haitian recovery after the earthquake to friends of the Clintons.",0,0,0,0,0,1,0,0,"False","mike-pence"
"The federal government is making the decision, whether we like it or not, to send 425 refugees to our state from Syria.",1,0,0,0,0,0,0,1,"Mixed","rick-scott"
"Beer drinking is not allowed in any Illinois state parks.",0,0,0,1,0,0,0,0,"False","howard-marklein"
"Says U.S. Senate rival Tommy Thompson ran Medicare into the ground and nine years closer to bankruptcy.",0,1,0,1,0,0,0,0,"False","tammy-baldwin"
"Early voting remains at 96 hours.",0,0,0,0,0,0,1,0,"Mostly False","kurt-browning"
"Says Obama flip-flopped on banning handguns.",0,0,1,0,0,0,0,0,"Mixed","let-freedom-ring"
"[T]he Georgia Dome has returned $10 billion in economic impact to the state of Georgia.",0,0,0,1,0,0,0,0,"False","zell-miller"
"What happens is people like Warren Buffett and he says this himself...pay 15 percent on the millions of dollars that they earn from wealth income... while their secretary is paying a higher rate on her work income. It's not right.",0,0,0,1,0,0,0,0,"True","john-edwards"
"Other Western countries have ended their ""Don't Ask, Don't Tell"" policies.",0,0,0,0,0,0,0,1,"True","carl-levin"
"The U.S. is borrowing approximately $2.52 for every $1 of economic growth so far in 2012.",0,0,0,1,0,0,0,0,"True","rodney-frelinghuysen"
"The Northwest Corridor highway project in Cobb and Cherokee counties is expected to create over 9,700 jobs statewide.",0,0,0,1,0,0,0,0,"False","georgia-department-transportation"
"The presidents own advisers have said theres a war on coal.",0,0,0,1,0,0,0,0,"Mostly False","mitch-mcconnell"
"Because of the new health care law, 17 million kids can no longer be denied for a pre-existing condition.",0,1,0,0,0,0,0,0,"Mostly False","barack-obama"
"Says Hillary Clinton is proposing destroying Medicare for seniors.",0,1,0,0,0,0,0,0,"False","donald-trump-jr"
"On supporting winner of Democratic primary with her superdelegate vote.",0,0,0,0,0,0,1,0,"False","martha-laning"
"The IRS has been specifically forbidden ... from ever actually pursuing either civil or criminal remedies for people who dont purchase health insurance.",0,1,0,0,0,0,0,0,"Mostly True","lawrence-odonnell"
"A bill to advance the Keystone XL Pipeline is an earmark under House rules.",0,0,0,1,0,0,0,0,"False","alan-grayson"
"Says Rick Scott thinks employers should be able to deny women coverage for birth control.",0,1,0,0,0,1,0,0,"Mostly True","charlie-crist"
"Florida is the first state requiring drug testing to receive welfare!",0,1,1,1,0,0,0,0,"False","chain-email"
"Says Hillary Clinton wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than theyre paying now.",0,0,0,1,0,0,0,0,"False","donald-trump"
"A lot of people who go into prison straight, and when they come out theyre gay.",1,0,1,0,0,0,0,0,"False","ben-carson"
"SaysGOP U.S. Senate candidate Darryl Glenn wants to eliminate the Department of Education and jeopardize college fundingfor 320,000 Coloradans.",0,0,0,0,1,0,0,0,"True","colorado-democratic-party"
"The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.",0,0,0,0,0,0,0,1,"False","michele-bachmann"
"Michael Bennet cast the deciding vote for the stimulus and the health care bill.",0,1,0,0,0,0,0,0,"Mostly False","national-republican-senatorial-committee"
"White people control almost 90 percent of the nations wealth.",0,0,0,1,0,0,0,0,"True","starbucks"
"200 consumer laws were destroyed in 2011 when Gov. Scott Walker signed Act 92.",0,0,0,0,0,1,0,0,"False","vince-megna"
"Wisconsin is not walking away from a dime in federal funds by rejecting the Obamacare Medicaid expansion.",0,1,0,1,0,0,0,0,"Mostly False","kitty-rhoades"
"Says that in 2007, Oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data.",0,1,0,0,0,0,0,0,"False","oregon-health-authority"
"Says that, as a Supreme Court justice, Greg Abbott found that a company whose vacuum cleaners were sold door to door had no responsibility in the hiring of a salesman who raped a customer.",1,0,1,0,0,1,0,0,"Mostly True","wendy-davis"
